mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9799952507019043,0.07573626099188878,0.0843468189239502,0.013617758271882057,200,5,2,sqrt,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-5.6226700576673,-5.241483329780853,-4.661761735549283,-4.647290332095407,-5.1893485152845304,-5.072510794075474,0.37266747016680285,45
2.4202059268951417,0.264483565094345,0.15045719146728515,0.05059027945049642,500,2,2,,20,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}",-4.104658774637591,-4.353695219099817,-3.6652430498367523,-3.304023256406349,-4.256181221766915,-3.9367603043494848,0.3944951541615363,23
1.8755647659301757,0.5511202109385013,0.20110125541687013,0.09033941529117402,500,5,2,sqrt,30,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",-5.583763890604967,-5.3469474281374225,-4.8045698469952685,-4.628869993305161,-5.184825756377594,-5.109795383084083,0.34956219873602795,47
0.8769008636474609,0.08901395319029681,0.0651319980621338,0.015361093168208535,200,2,2,sqrt,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-5.42041309585508,-4.95532421902731,-4.380100574294877,-4.396478590513273,-4.767252647052381,-4.783913825348584,0.38677167481527713,31
1.111356782913208,0.38408288251583067,0.07096858024597168,0.03860269109175318,200,2,1,sqrt,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",-4.022798568446271,-3.7504073925382038,-2.8996782974432658,-3.2201939718460286,-3.407265100321958,-3.4600686661191453,0.3937834353677018,13
0.6933987617492676,0.1385006016677843,0.047383689880371095,0.012633013973095839,200,5,1,sqrt,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",-5.261239547111918,-4.9419838488435515,-4.4595563166502075,-4.509869807079115,-4.841682107183575,-4.802866325373673,0.294847446142253,36
0.6062972545623779,0.06564140907661253,0.048506546020507815,0.0030019592356732576,200,2,2,sqrt,50,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50}",-5.42041309585508,-4.966675946572855,-4.380100574294877,-4.396478590513273,-4.767252647052381,-4.786184170857693,0.3878031304016815,32
2.0946258068084718,0.5406798711164523,0.12810492515563965,0.0551592202549366,500,5,1,,40,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 40}",-4.070809612961916,-4.476178116736388,-3.5546406612964083,-3.335838712909465,-4.16956847709562,-3.9214071161999597,0.4169134244639239,18
2.582491874694824,0.6734138105489776,0.13944649696350098,0.06539066592208276,500,2,1,,50,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 50}",-3.207238323941035,-3.8783743298586124,-2.662353244378656,-2.654120350645763,-3.3889962447481694,-3.158216498714447,0.46352627234804505,3
1.135665273666382,0.16445256833971567,0.06716403961181641,0.017114517424470697,200,2,1,,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}",-3.2839683573528085,-3.9970753999773128,-2.69162692696422,-2.6591078156222885,-3.4661454774133422,-3.2195847954659946,0.5024545768275195,8
